Year,NOC,Gold,Total
1996,ARG,0,0
1996,AUT,0,0
1996,AZE,0,0
1996,BAH,0,0
1996,GEO,0,0
1996,IND,0,0
1996,LAT,0,0
1996,LTU,0,0
1996,MAR,0,0
1996,MAS,0,0
1996,MDA,0,0
1996,MEX,0,0
1996,MGL,0,0
1996,MOZ,0,0
1996,NAM,0,0
1996,PHI,0,0
1996,PUR,0,0
1996,SLO,0,0
1996,TGA,0,0
1996,TPE,0,0
1996,TTO,0,0
1996,TUN,0,0
1996,UGA,0,0
1996,UZB,0,0
1996,ZAM,0,0
1998,AUS,0,0
1998,BEL,0,0
1998,BLR,0,0
1998,CHN,0,0
1998,DEN,0,0
1998,GBR,0,0
1998,KAZ,0,0
1998,SWE,0,0
1998,UKR,0,0
2000,ARG,0,0
2000,ARM,0,0
2000,BAR,0,0
2000,BEL,0,0
2000,BRA,0,0
2000,CHI,0,0
2000,CRC,0,0
2000,GEO,0,0
2000,IND,0,0
2000,IRL,0,0
2000,ISL,0,0
2000,JAM,0,0
2000,KGZ,0,0
2000,KSA,0,0
2000,KUW,0,0
2000,MAR,0,0
2000,MDA,0,0
2000,MKD,0,0
2000,POR,0,0
2000,PRK,0,0
2000,QAT,0,0
2000,RSA,0,0
2000,SRI,0,0
2000,TPE,0,0
2000,TTO,0,0
2000,URU,0,0
2000,VIE,0,0
2002,BLR,0,0
2002,BUL,0,0
2002,JPN,0,0
2002,POL,0,0
2002,SLO,0,0
2002,SWE,0,0
2004,COL,0,0
2004,ERI,0,0
2004,EST,0,0
2004,FIN,0,0
2004,HKG,0,0
2004,IND,0,0
2004,LAT,0,0
2004,MEX,0,0
2004,MGL,0,0
2004,NGR,0,0
2004,PAR,0,0
2004,POR,0,0
2004,PRK,0,0
2004,SCG,0,0
2004,SLO,0,0
2004,SYR,0,0
2004,TTO,0,0
2004,VEN,0,0
2006,BLR,0,0
2006,BUL,0,0
2006,FIN,0,0
2006,GBR,0,0
2006,LAT,0,0
2006,POL,0,0
2006,SVK,0,0
2006,UKR,0,0
2008,AFG,0,0
2008,ALG,0,0
2008,ARM,0,0
2008,AUT,0,0
2008,BAH,0,0
2008,CHI,0,0
2008,COL,0,0
2008,CRO,0,0
2008,ECU,0,0
2008,EGY,0,0
2008,GRE,0,0
2008,IRL,0,0
2008,ISL,0,0
2008,ISR,0,0
2008,KGZ,0,0
2008,LTU,0,0
2008,MAR,0,0
2008,MAS,0,0
2008,MDA,0,0
2008,MRI,0,0
2008,NGR,0,0
2008,RSA,0,0
2008,SAM,0,0
2008,SGP,0,0
2008,SRB,0,0
2008,SUD,0,0
2008,SWE,0,0
2008,TJK,0,0
2008,TOG,0,0
2008,UZB,0,0
2008,VEN,0,0
2008,VIE,0,0
2010,CRO,0,0
2010,EST,0,0
2010,FIN,0,0
2010,JPN,0,0
2010,KAZ,0,0
2010,LAT,0,0
2010,SLO,0,0
2012,AFG,0,0
2012,ARM,0,0
2012,BEL,0,0
2012,BOT,0,0
2012,BUL,0,0
2012,CMR,0,0
2012,CYP,0,0
2012,EGY,0,0
2012,EST,0,0
2012,FIN,0,0
2012,GAB,0,0
2012,GRE,0,0
2012,GUA,0,0
2012,HKG,0,0
2012,INA,0,0
2012,IND,0,0
2012,KSA,0,0
2012,KUW,0,0
2012,MAR,0,0
2012,MAS,0,0
2012,MGL,0,0
2012,MNE,0,0
2012,POR,0,0
2012,PUR,0,0
2012,QAT,0,0
2012,SIN,0,0
2012,SVK,0,0
2012,THA,0,0
2012,TJK,0,0
2012,UZB,0,0
2012,VIE,0,0
2014,AUS,0,0
2014,CRO,0,0
2014,ITA,0,0
2014,KAZ,0,0
2016,ALG,0,0
2016,AUT,0,0
2016,BDI,0,0
2016,BUL,0,0
2016,DOM,0,0
2016,EGY,0,0
2016,EST,0,0
2016,FIN,0,0
2016,GRN,0,0
2016,IND,0,0
2016,IRL,0,0
2016,LTU,0,0
2016,MAR,0,0
2016,MAS,0,0
2016,MEX,0,0
2016,MGL,0,0
2016,NGR,0,0
2016,NIG,0,0
2016,NOR,0,0
2016,PHI,0,0
2016,POR,0,0
2016,QAT,0,0
2016,TTO,0,0
2016,TUN,0,0
2016,UAE,0,0
2016,VEN,0,0
2018,AUS,0,0
2018,BEL,0,0
2018,ESP,0,0
2018,KAZ,0,0
2018,LAT,0,0
2018,LIE,0,0
2018,NZL,0,0
2018,SLO,0,0
2020,ARG,0,0
2020,ARM,0,0
2020,AZE,0,0
2020,BOT,0,0
2020,BRN,0,0
2020,BUR,0,0
2020,CIV,0,0
2020,COL,0,0
2020,DOM,0,0
2020,FIN,0,0
2020,GHA,0,0
2020,GRN,0,0
2020,JOR,0,0
2020,KAZ,0,0
2020,KGZ,0,0
2020,KSA,0,0
2020,KUW,0,0
2020,LTU,0,0
2020,MAS,0,0
2020,MDA,0,0
2020,MEX,0,0
2020,MGL,0,0
2020,MKD,0,0
2020,NAM,0,0
2020,NGR,0,0
2020,SMR,0,0
2020,SYR,0,0
2020,TKM,0,0
2024,ALB,0,0
2024,ARM,0,0
